Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
MD Pictures,https://www.crunchbase.com/organization/md-pictures,"Film Production, TV","Jakarta, Jakarta Raya, Indonesia",MD Pictures is a film production company.,"109,590",Active,2002-01-01,day,2018-08-07,day,,,For Profit,https://www.mdpictures.com,"MD Pictures' objective is to be a forerunner in the local film industry and to launch globally by collaborating to develop, create, and consistently deliver high-quality films. The company's vision is for the stories it tells to inspire and remain in the homes, hearts, and memories of people all around the world.",IPO,50000000,USD,50000000
IDS | International Design School,https://www.crunchbase.com/organization/ids-international-design-school,"E-Learning, EdTech, Education","Jakarta, Jakarta Raya, Indonesia",International Design School is an educational institution in the field of visual communication.,"112,595",Active,2000-01-01,day,,,,,For Profit,http://idseducation.com/,"International Design School is an institute for graphic design, animation, and film. They serve the visual communication industry. Their programs include college, short courses, online short courses, and corporate training.",,1500000,USD,1500000
Alhijaz Indowisata Travel Umroh & Haji Plus,https://www.crunchbase.com/organization/pt-alhijaz-indowisata,"Business Travel, Tour Operator, Tourism, Travel, Travel Agency","Jakarta, Jakarta Raya, Indonesia",PT Alhijaz Indowisata Travel Umroh & Haji Plus Terbaik Akreditasi A,"171,096",Active,2000-04-21,day,,,,,For Profit,https://alhijaz.travel/,"PT. Alhijaz Indowisata merupakan penyelenggara umroh dengan izin Umrah U.490/2020 dan Izin Haji 304/2022. Tersedia Paket Umroh Reguler , Umroh Promo, Plus Thaif, Umroh Plus Turki Istanbul Cappadocia, Umroh Plus Dubai, Umroh Ramadhan, Umroh Syawal, Umroh 9 12 & 15 Hari",,,,
PERTAMABET88 ALTERNATIF LINK,https://www.crunchbase.com/organization/pertamabet88-alternatif-link,"Digital Entertainment, Online Games, Software","Jakarta, Jakarta Raya, Indonesia",Pertamabet88 merupakan salah satu situs game online yang menyediakan alternatif link game online app terlengkap,"180,325",Active,2002-04-04,day,,,,,For Profit,https://heylink.me/pertamabet88webs,Pertamabet88 merupakan salah satu situs game online yang menyediakan alternatif link game online app terlengkap. Nikmati permainan game online dengan alternatif link yang kami berikan.,,,,
PT. Kaldu Sari Nabati Indonesia,https://www.crunchbase.com/organization/pt-kaldu-sari-nabati-indonesia,Consumer Goods,"Jakarta, Jakarta Raya, Indonesia",Indonesia’s snack producer ,"201,600",Active,2002-01-01,day,,,,,For Profit,http://www.nabatisnack.co.id/, Nabati  improve people's quality of life through innovative and customer-oriented quality-oriented food and beverage production and are supported by competent human resources to generate added value for stakeholders.,,,,
Bumi Resources Minerals,https://www.crunchbase.com/organization/bumi-resources-minerals,"Mineral, Mining","Kuningan, Jakarta Raya, Indonesia",Bumi Resources Minerals is a multi-minerals mining company.,"209,079",Active,2003-08-06,day,2010-12-09,day,,,For Profit,http://www.bumiresourcesminerals.com/,"Bumi Resources Minerals operates a diversified array of minerals, including lead, zinc, copper, and gold. By creating and running mineral mining firms, they provide stakeholders with returns that are among the in the industry.",IPO,500000,IDR,37
PT ASA Indonesia,https://www.crunchbase.com/organization/pt-asa-indonesia,"Accounting, Bookkeeping and Payroll, Financial Services","Jakarta, Jakarta Raya, Indonesia","PT ASA Indonesia specializes in providing a high quality of Corporate Services, Payroll Services, Accounting Services and Tax Services.","209,370",Active,2004-01-01,year,2021-07-28,day,,,For Profit,https://asa-indonesia.com/,"PT ASA Indonesia specializes in providing a high quality of Corporate Services, Payroll Services, Accounting Services and Tax Services.",M&A,,,
Monex Investindo Futures,https://www.crunchbase.com/organization/monex-investindo-futures,"Financial Exchanges, Financial Services, Trading Platform","Jakarta Pusat, Jakarta Raya, Indonesia",Monex Investindo Futures engages in futures brokerage by enabling the forex and commodities trading services at a competitive cost.,"213,632",Active,2000-01-01,year,,,,,For Profit,https://mifx.com/,,,,,
Garda Utama Nasional,https://www.crunchbase.com/organization/garda-utama-nasional,"Consulting, Physical Security, Professional Services, Security, Training","Jakarta, Jakarta Raya, Indonesia",Garda Utama Nasional is a security services company that provides various services including training and consultation.,"234,867",Active,2004-01-01,year,,,,,For Profit,https://www.gun.co.id,,,,,
Indosat Ooredoo,https://www.crunchbase.com/organization/indosat-ooredoo,"Information Technology, Internet, Telecommunications","Jakarta, Jakarta Raya, Indonesia",The leading digital telecommunications company in Indonesia that provides access and connectivity to every person and business.,"236,680",Active,2003-01-01,year,,,,,For Profit,http://www.indosatooredoo.com,"Indosat Ooredoo Business Indosat is a business unit of Ooredoo (IDX: ISAT), a member of Ooredoo Group, which focus on providing ICT and digital solutions to corporations and businesses in Indonesia. Committed to making business simple, Indosat Ooredoo Business wants to make it easier for customers to operate and grow their business through digital ICT solutions and IT-based telecom infrastructure such as connectivity (connectivity), mobility (mobility), IT Services, M2M, Satellite and other managed services solutions. At the end of the fourth quarter of 2015, Indosat Ooredoo supports more than 2,500 enterprise-scale companies, recorded an increase of 4010 link link connectivity and increased bandwidth of 196 Gb and achieve revenue growth in the featured category by double digits in the same period the previous year. To provide service quality standards, Indosat Ooredoo Business has obtained ISO 9001, ISO 27001, Carrier Ethernet 2.0, and more and has been recognized as the Best Datacomm provider of the year 2015 from Frost and Sullivan.",,,,
