Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Partner Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor)
Enric Aparici,https://www.crunchbase.com/person/enric-aparici-f024,,,,Enric Aparici,,,,,,,,,,,"250,880"
Navratan Jain,https://www.crunchbase.com/person/navratan-jain,1,,,Navratan Jain,Individual/Angel,Early Stage Venture,1,,,,,,,,"250,869"
Victoria Zellmer,https://www.crunchbase.com/person/victoria-zellmer,,,"Chicago, Illinois, United States",Victoria Zellmer,,,,,,,,,,,"250,841"
Gilber Machado,https://www.crunchbase.com/person/gilber-machado,,,"São Paulo, Sao Paulo, Brazil",Gilber Machado is the Co-Founder and CEO of Kuau. He previously worked at Agência ebrand as an Executive Director and CEO. Gilber Machado at...,,,,,,,,,,,"250,866"
Jill Shih,https://www.crunchbase.com/person/jill-shih,1,,,Jill Shih,Individual/Angel,,1,,,,,,,,"250,896"
Vinay Patel,https://www.crunchbase.com/person/vinay-patel-48fd,1,,,Vinay Patel is the Managing Director of Accenture.,Individual/Angel,,1,,,,,,,,"250,897"
Sanjay Rishi,https://www.crunchbase.com/person/sanjay-rishi-bf22,,,,Sanjay Rishi,Investment Partner,,,1,,,,,,,"250,895"
Danny Spears,https://www.crunchbase.com/person/danny-spears-1be6,,,"Cincinnati, Ohio, United States",Senior Vice President,Investment Partner,,,1,,,,,,,"250,899"
Jean Camille Veyrac,https://www.crunchbase.com/person/jean-camille-veyrac,,,"Toulouse, Midi-Pyrenees, France","Graduated with a Master ""Responsible Management"", Jean-Camille started her career as a Quality Manager and Financial Controller of a subsidi...",,,,,,,,,,,"250,854"
Lee Sach,https://www.crunchbase.com/person/lee-sach-1709,,,"New York, New York, United States",Lee Sach is the Founding Partner of Mosaic Financial Markets. Lee Sach attended the University of Southampton.,,,,,,,,,,,"250,844"
Michelle Lubetzky,https://www.crunchbase.com/person/michelle-lubetzky,1,,,Michelle Lubetzky,Individual/Angel,Seed,1,,,1,,,,,"250,907"
Chris Platika,https://www.crunchbase.com/person/chris-platika,,,,Chris Platika,,,,,,,,,,,"250,847"
Mukesh Maniar,https://www.crunchbase.com/person/mukesh-maniar,2,,,Mukesh Maniar,Individual/Angel,,2,,,,,,,,"250,913"
Dough Rowan,https://www.crunchbase.com/person/dough-rowan,1,,,Dough Rowan,Individual/Angel,Seed,1,,,,,,,,"250,846"
Herbert Blutenthal,https://www.crunchbase.com/person/herbert-blutenthal,1,,"Glencoe, Illinois, United States",Herbert Blutenthal,Individual/Angel,Seed,1,,,,,,,,"250,901"
Wojciech Marcińczyk,https://www.crunchbase.com/person/wojciech-marciczyk,,,,"He has over fifteen years of experience in financial management in the telecommunications industries , ICT, financial services, consulting. ...",,,,,,,,,,,"250,920"
Nick Wiger,https://www.crunchbase.com/person/nick-wiger,,,"Los Angeles, California, United States",Nick Wiger is a individual investor.,,,,,,,,,,,"250,866"
Graeme John,https://www.crunchbase.com/person/graeme-john,,,"Edinburgh, Edinburgh, City of, United Kingdom",Graeme John is an Advisor of Commsworld.,,,,,,,,,,,"250,916"
Huang Zhaohui,https://www.crunchbase.com/person/huang-zhaohui-a988,,,,Huang Zhaohui is the  Managing Director of CICC Capital.,Investment Partner,,,1,,,,,,,"250,849"
Catarina Bjorlin Hansen,https://www.crunchbase.com/person/catarina-bjorlin-hansen,,,,Catarina Bjorlin Hansen is the  Regional Director for the Caucasus at EBRD.,Investment Partner,,,1,,,,,,,"250,921"
Michael Lucente,https://www.crunchbase.com/person/michael-lucente-f6a8,,,,Michael Lucente,,,,,,,,,,,"250,908"
Carrie Hillyard,https://www.crunchbase.com/person/carrie-hillyard,,,,Carrie is a co-founder of CM Capital and has led the Life Sciences practice at CM Capital for over 10 years. She has over 25 years experienc...,,,,,,,,,,,"250,924"
Nate Guernsey,https://www.crunchbase.com/person/nate-guernsey-b070,,,,Nate Guernsey joined TensorWrench as Co-Founder & Chief Technology Officer.,,,,,,,,,,,"250,918"
Reynard Hilman,https://www.crunchbase.com/person/reynard-hilman,,,,Reynard Hilman,,,,,,,,,,,"250,912"
Benny Medina,https://www.crunchbase.com/person/benny-medina,,,,Benny Medina,,,,,,,,,,,"250,906"
Patrick Opie,https://www.crunchbase.com/person/patrick-opie,,,"Seattle, Washington, United States",Patrick Opie,,,,,,,,,,,"250,893"
Dylan Bertalli,https://www.crunchbase.com/person/dylan-bertalli,,,,Dylan Bertalli,,,,,,,,,,,"250,882"
Stéphane Ouaki,https://www.crunchbase.com/person/stéphane-ouaki,,,,Stéphane Ouaki,Investment Partner,,,1,,,,,,,"250,903"
Xiaojun CHEN,https://www.crunchbase.com/person/xiaojun-chen-a2d9,1,,,Xiaojun CHEN,Individual/Angel,Seed,1,,,,,,,,"250,925"
William Hardt,https://www.crunchbase.com/person/william-hardt,,,"Bristol, Wisconsin, United States",William Hardt is the President at Northlake Engineering.,,,,,,,,,,,"250,871"
Askar Smagulov,https://www.crunchbase.com/person/askar-smagulov,,,"San Ramon, California, United States",Umut B. Shayahatova is the Member of the Board of Directors at Altyn Bank Admin,,,,,,,,,,,"250,927"
Isaac Shalom,https://www.crunchbase.com/person/isaac-shalom,1,,,Isaac Shalom,Individual/Angel,Seed,1,,,,,,,,"250,917"
Chen Jing,https://www.crunchbase.com/person/chen-jing,,,,Chen Jing,Investment Partner,,,1,,,,,,,"250,914"
Mika Suomela,https://www.crunchbase.com/person/mika-suomela,,,"Helsinki, Southern Finland, Finland","Mika is a Partner at VersoVentures since 2013. Mika has over 20 years of experience leading international businesses at Nokia, Ericsson and...",Investment Partner,,,3,,,,,,,"250,915"
Ken Provencher,https://www.crunchbase.com/person/ken-provencher,,,"Springfield, Oregon, United States",Ken Provencher,,,,,,,,,,,"250,910"
Luciano Loffi,https://www.crunchbase.com/person/luciano-loffi,,,"Joinville, Santa Catarina, Brazil",Luciano Loffi,,,,,,,,,,,"250,911"
Jack Morrison,https://www.crunchbase.com/person/jack-morrison-2ff3,,,,Jack Morrison,,,,,,,,,,,"250,922"
Md Riaz,https://www.crunchbase.com/person/md-riaz,,,"Dhaka, Dhaka, Bangladesh",Visionary entrepreneur & Tech investor.,,"Seed, Venture",,,,,,,,,"250,928"
Rafer Weigel,https://www.crunchbase.com/person/rafer-weigel-950e,,,,"Rafer Weigel is a multi-faceted professional, possessing an award-winning background in journalism, marketing strategy, and branding. For th...",,,,,,,,,,,"250,931"
Shayne Williams,https://www.crunchbase.com/person/shayne-williams-f94a,,,"London, England, United Kingdom",Shayne Williams,,,,,,,,,,,"250,932"
Amy Perlik Healy,https://www.crunchbase.com/person/amy-perlik-healy,,,,Amy Perlik Healy is a Vice President at Government Relations GRUBHUB.,Investment Partner,,,1,,,,,,,"250,933"
Dee Ford,https://www.crunchbase.com/person/dee-ford,1,,,Dee Ford,Individual/Angel,,1,,,,,,,,"250,877"
Jim MacDonald,https://www.crunchbase.com/person/jim-macdonald-cf50,,,"Toronto, Alberta, Canada",Jim MacDonald,,,,,,,,,,,"250,939"
Peng Cheng,https://www.crunchbase.com/person/peng-cheng-bf01,,,,Peng Cheng,,,,,,,,,,,"250,945"
Nathan Mackeans,https://www.crunchbase.com/person/nathan-mackeans,,,"Nigeria, Africa",Nathan Mackeans - Founder @ SnapShop,,,,,,,,,,,"250,879"
Jitesh Mehta,https://www.crunchbase.com/person/jitesh-mehta,1,,,Jitesh Mehta,Individual/Angel,,1,,1,,,,,,"250,952"
Mindy Harvey,https://www.crunchbase.com/person/mindy-harvey,,,"Napa, California, United States",Mindy Harvey was the Founder of Ultimate Ears.,,,,,,,,,,,"250,955"
Anjani Prasad,https://www.crunchbase.com/person/anjani-prasad,1,,,Anjani Prasad,Individual/Angel,Seed,1,,,,,,,,"250,897"
Harvinder Singh,https://www.crunchbase.com/person/harvinder-singh-8aa3,,,"Mumbai, Maharashtra, India",Harvinder Singh,,,,,,,,,,,"250,957"
Lyle Petersen,https://www.crunchbase.com/person/lyle-petersen-f4d3,,,"Fort Collins, Colorado, United States","Lyle Petersen is the Director, Division of Vector-Borne Diseases at the Centers for Disease Control and Prevention.",Investment Partner,,,1,,,,,,,"250,938"
