Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Lead Investments,CB Rank (Investor)
EU Tech Chamber,https://www.crunchbase.com/organization/eu-tech-chamber,,,"Munich, Bayern, Germany","EU Tech Chamber is a registered NGO, acting as the voice of the European Tech Industry.",Government Office,,,"98,250"
"Ministère des Forêts, de la Faune et des Parcs",https://www.crunchbase.com/organization/ministère-des-forêts-de-la-faune-et-des-parcs,2,1,"Quebec, Quebec, Canada","Ministère des Forêts promote knowledge acquisition and to ensure the development and optimal use of forestry, wildlife and parks in Québec",Government Office,,,"98,151"
Anderson Venture Impact Partners,https://www.crunchbase.com/organization/anderson-venture-impact-partners,,,"Los Angeles, California, United States",Seed/Series A Impact Venture Fund run by UCLA Anderson MBA Students,University Program,Seed,,"98,141"
Northern Australia Infrastructure Facility(NAIF),https://www.crunchbase.com/organization/northern-australia-infrastructure-facility-naif,6,5,"Cairns, Queensland, Australia",Northern Australia Infrastructure Facility is a major long term initiative of the Australian Government’s White Paper.,Government Office,,5,"98,140"
TiE DC,https://www.crunchbase.com/organization/tie-dc,3,,"Falls Church, Virginia, United States",TiE DC University program was launched to empower university and college students and recent graduates to become entrepreneurs.,University Program,,2,"98,101"
World Health Partners,https://www.crunchbase.com/organization/world-health-partners,,,"San Francisco, California, United States",Provides health and reproductive health services in developing countries by harnessing local market forces to work for the poor.,Government Office,,,"97,949"
Washington State Developmental Disabilities Council,https://www.crunchbase.com/organization/washington-state-developmental-disabilities-council,1,,"Olympia, Washington, United States",Developmental Disabilities Council advocates for better services and supports for people with developmental disabilities and their families.,Government Office,,1,"97,750"
Investment NSW,https://www.crunchbase.com/organization/investment-nsw,1,,"Sydney, New South Wales, Australia",Investment NSW connects with economic opportunities.,Government Office,Grant,1,"97,731"
Rural Utilities Service,https://www.crunchbase.com/organization/rural-utility-service,3,,"Washington, District of Columbia, United States",USDA’s Rural Utilities Service is administers programs that provide infrastructure improvements to rural communities. ,Government Office,,2,"97,673"
The Oil & Gas Technology Centre,https://www.crunchbase.com/organization/the-oil-gas-technology-centre,3,,"Aberdeen, Aberdeen City, United Kingdom","Our goal is to help maximise economic recovery from the UK continental shelf, anchor the supply chain in the North-East of Scotland.","Accelerator, Government Office",,1,"97,648"
Fundación INCYDE,https://www.crunchbase.com/organization/fundación-incyde,,,"Madrid, Madrid, Spain",Fundación INCYDE promotes entrepreneurship and the viability of new companies.,Government Office,,,"97,378"
iPark,https://www.crunchbase.com/organization/ipark,1,1,"Stavanger, Rogaland, Norway",Ipark is a company that helps other companies with venture capital.,"Government Office, Incubator",,,"97,173"
Inlandsinnovation,https://www.crunchbase.com/organization/inlandsinnovation,17,2,"Östersund, Jamtlands Lan, Sweden",Inland Innovation is a state-owned venture capital firm that invests in growth companies in all industries in northern Sweden.,"Government Office, Venture Capital",,6,"97,051"
UCSF-Stanford Pediatric Device Consortium,https://www.crunchbase.com/organization/ucsf-stanford-pediatric-device-consortium,2,,"San Francisco, California, United States",UCSF-STANFORD PEDIATRIC DEVICE CONSORTIUM provides innovators.,Government Office,,1,"96,913"
Advance Queensland,https://www.crunchbase.com/organization/advance-queensland,6,2,"Brisbane, Queensland, Australia",The Queensland Government is investing $180 million over four years to create the knowledge based jobs of the future.,Government Office,,1,"96,614"
Public Officials Benefit Association,https://www.crunchbase.com/organization/public-officials-benefit-association,1,,"Yongsan, Seoul-t'ukpyolsi, South Korea",Administrative Mutual Aid Society is a welfare institution that shares the happy future of local public officials.,Government Office,,,"96,519"
the Imperial College Innovation Fund,https://www.crunchbase.com/organization/the-imperial-college-innovation-fund,2,,"London, England, United Kingdom",the Imperial College Innovation Fund in a investment firm.,University Program,,,"96,396"
Lubelska Agencja Wspierania Przedsiębiorczości (LAWP),https://www.crunchbase.com/organization/lubelska-agencja-wspierania-przedsiębiorczości-lawp,1,,"Lublin, Lubelskie, Poland",LAWP została powołana do wykonywania zadań związanych z realizacją Regionalnego Programu Operacyjnego Województwa Lubelskiego.,Government Office,Grant,,"95,929"
Urban Uplift Fund,https://www.crunchbase.com/organization/urban-uplift-fund,1,,"Dublin, Dublin, Ireland",Rethink Ireland provides cash grants and business support to the social innovations who can make a real difference.,Government Office,,1,"95,800"
Chonbuk National University,https://www.crunchbase.com/organization/chonbuk-national-university,4,,"Deokjin, Kyonggi-do, South Korea","Chonbuk National University is a national research university founded in 1947, located in Jeonju, South Korea.",University Program,,,"95,791"
Nasa Small Business Innovation Research / Small Business Technology Transfer,https://www.crunchbase.com/organization/nasa-small-business-innovation-research-small-business-technology-transfer-sbir-sttr,15,1,"Washington, District of Columbia, United States","The NASA SBIR and STTR programs fund the research, development, and demonstration of innovative technologies.",Government Office,"Grant, Seed",13,"95,725"
Life Changing Labs,https://www.crunchbase.com/organization/life-changing-labs,,,"Ithaca, New York, United States","Life Changing Labs is a collective of top engineers, designers, and business students working together to launch life changing startups.",University Program,,,"95,563"
Norges Vel,https://www.crunchbase.com/organization/norges-vel,1,,"Skretting, Rogaland, Norway",Norges Vel's International work is aimed to reduce poverty and to fuel local economic growth through local business development.,Government Office,,1,"95,481"
Malaysian sovereign wealth fund,https://www.crunchbase.com/organization/malaysian-sovereign-wealth-fund,1,,,Malaysian sovereign wealth fund is an investment firm.,Government Office,,1,"95,250"
County of Ocean,https://www.crunchbase.com/organization/county-of-ocean,1,,"Toms River, New Jersey, United States",County of Ocean is a county located along the Jersey Shore in the south-central portion of the U.S. state of New Jersey.,Government Office,,,"95,202"
West Deutsche Landesbank Girozentrale,https://www.crunchbase.com/organization/west-deutsche-landesbank-girozentrale,5,2,"Düsseldorf, Nordrhein-Westfalen, Germany",German bank WestLB offers a range of banking products and services.,Government Office,,,"94,593"
Jacobs School of Engineering,https://www.crunchbase.com/organization/jacobs-school-of-engineering,,,"La Jolla, California, United States",Jacobs School of Engineering is a school.,"University Program, Venture Capital",Seed,,"93,897"
RCT BioVentures,https://www.crunchbase.com/organization/rct-bioventures,4,1,"Tucson, Arizona, United States",The RCT BioVentures program is the vehicle through which Research Corporation Technologies invests in start-up or early-stage companies,"University Program, Venture Capital",Early Stage Venture,,"93,888"
Kansas Bioscience Authority,https://www.crunchbase.com/organization/kansas-bioscience-authority,13,3,"Olathe, Kansas, United States","Kansas has the largest concentration of animal health companies in the world. Their researchers are making breakthroughs in oncology,","Government Office, Incubator",Early Stage Venture,4,"93,651"
Natural Resources Conservation Service,https://www.crunchbase.com/organization/natural-resources-conservation-service,3,,"Washington, District of Columbia, United States","NCRS is a government agency that provides issues and news related to agriculture, environment, and conversation.",Government Office,,3,"93,265"
National Institute on Alcohol Abuse and Alcoholism,https://www.crunchbase.com/organization/national-institute-on-alcohol-abuse-and-alcoholism,5,,"Bethesda, Maryland, United States",National Institute on Alcohol Abuse and Alcoholism (NIAAA) provides grants.,Government Office,,4,"93,141"
Baiada Institute,https://www.crunchbase.com/organization/baiada-institute,,,"Philadelphia, Pennsylvania, United States","Drexel University's startup incubator providing startup community space, content, coaching and competitions to students and alumni.","Incubator, University Program",Non Equity Assistance,,"93,061"
National Social Security Fund (NSSF),https://www.crunchbase.com/organization/national-social-security-fund-nssf,2,1,"Dar Es Salaam, Dar es Salaam, Tanzania",National Social Security Fund (NSSF) is a fully funded scheme running under defined benefit principles.,Government Office,,,"93,040"
Global Health Innovative Technology Fund,https://www.crunchbase.com/organization/global-health-innovative-technology-fund,3,,"Roppongi, Tokyo, Japan",The GHIT Fund’s vision is one in which the crushing burden of infectious disease no longer prevents billions of people in the developing,Government Office,,2,"93,031"
Nebraska Department of Economic Development,https://www.crunchbase.com/organization/nebraska-department-of-economic-development-030e,1,,"Lincoln, Nebraska, United States",Nebraska Department of Economic Development is the official lead economic development agency.,Government Office,,1,"93,013"
Agencia Nacional de Promoción Científica y Tecnológica Argentina,https://www.crunchbase.com/organization/agencia-nacional-de-promocion-cientifica-y-tecnologica-argentina,2,,"Buenos Aires, Distrito Federal, Argentina","Institution part of the Ministry of Sciencies and Technology of Argentina, focused in the development of software and investigation",Government Office,,1,"92,652"
Paspalis Innovation and Investment Fund,https://www.crunchbase.com/organization/paspalis-innovation-and-investment-fund,3,,"Darwin, Northern Territory, Australia",The Paspalis Innovation Investment Fund (the first venture capital fund launched in the Northern Territory).,Government Office,,1,"92,551"
Federal Ministry for Economic Cooperation and Development,https://www.crunchbase.com/organization/federal-ministry-for-economic-cooperation-and-development,2,1,"Bonn, Nordrhein-Westfalen, Germany",Federal Minister Müller pledges greater German support for development in Togo.,Government Office,,2,"92,446"
City of Carlsbad,https://www.crunchbase.com/organization/city-of-carlsbad,1,,"Carlsbad, California, United States","The city of Carlsbad has police and fire departments, water system, parks and recreation division, library and cultural arts division.",Government Office,,1,"92,378"
The Republic of Kosovo,https://www.crunchbase.com/organization/the-republic-of-kosovo,,,"Kosovo, Samokov, Macedonia",Republic of Kosovo is a partially recognized state and disputed territory in Southeastern Europe.,Government Office,,,"92,311"
National Offshore Wind Research & Development Consortium,https://www.crunchbase.com/organization/national-offshore-wind-research-development-consortium,3,1,"Stony Brook, New York, United States","NOWRDC are not-for-profit, 501(c)(3), focused on US offshore wind deployment and lowering its cost.",Government Office,Grant,1,"92,253"
Finlombarda,https://www.crunchbase.com/organization/finlombarda,,,"Milan, Lombardia, Italy",Finlombarda SpA is a management consulting firm provides financial products and services.,Government Office,,,"92,117"
VentureLab at Georgia Tech,https://www.crunchbase.com/organization/venturelab-at-georgia-tech,,,"Atlanta, Georgia, United States",Creating great startups from GT research,University Program,,,"91,884"
Columbia Venture Community (CVC),https://www.crunchbase.com/organization/columbia-venture-community,2,,"New York, New York, United States",CVC is one of the largest alumni groups at Columbia University for those interested in entrepreneurship and innovation.,University Program,,,"91,853"
USDA Food and Nutrition Service,https://www.crunchbase.com/organization/usda-food-and-nutrition-service,1,,"Washington, District of Columbia, United States",USDA Food and Nutrition Service distribution programmes benefit both consumers and American agricultural producers.,Government Office,Grant,1,"91,850"
Entrepreneurial Greenhouse Program,https://www.crunchbase.com/organization/entrepreneurial-greenhouse-program,,,"New York, New York, United States",The Entrepreneurial Greenhouse Program helps second-year Columbia Business School students prepare their businesses.,"Accelerator, University Program",,,"91,634"
Veneto Sviluppo,https://www.crunchbase.com/organization/venetosviluppo,2,1,"Marghera, Veneto, Italy",Veneto Sviluppo is a venture capital firm.,"Government Office, Venture Capital",,1,"91,564"
Shannon Development Company,https://www.crunchbase.com/organization/shannon-development-company,2,,"Clare, Clare, Ireland",Shannon Development is a government owned regional development company dedicated to promoting and developing the Shannon Region of Ireland.,"Government Office, Micro VC",Seed,,"91,461"
Yuanhe Holding,https://www.crunchbase.com/organization/yuanhe-holding,8,,, Yuanhe Holding,Government Office,,3,"91,334"
Louisiana Economic Development,https://www.crunchbase.com/organization/louisiana-economic-development,1,,"Baton Rouge, Louisiana, United States",opportunitylouisiana is responsible for strengthening the state's business environment and creating a more vibrant Louisiana economy.,Government Office,,1,"90,958"
Cambridge University Entrepreneurs,https://www.crunchbase.com/organization/cambridge-university-entrepreneurs,2,,"Cambridge, Cambridgeshire, United Kingdom",CUE runs a student-run business creation competition. CUE's goals is to promote entrepreneurship in Cambridge and beyond.,University Program,,2,"90,949"
Invest Southwest,https://www.crunchbase.com/organization/invest-southwest,2,,"Phoenix, Arizona, United States",Invest Southwest connects the investment community to the most promising startups in the region.,Government Office,,2,"90,861"
Flyer Pitch Competition,https://www.crunchbase.com/organization/flyer-pitch-competition,5,,"Dayton, Ohio, United States",Flyer Pitch Competition is an Incubator.,"Entrepreneurship Program, Incubator, University Program",,5,"90,779"
Purdue Foundry Investment Fund,https://www.crunchbase.com/organization/foundry-investment-fund-of-indiana,4,,"West Lafayette, Indiana, United States",Purdue Foundry Investment Fund provides matching funds for investments in Purdue startups.,University Program,,3,"90,771"
Tokyo University of Science Investment Management,https://www.crunchbase.com/organization/tokyo-university-of-science-investment-management,14,,"Tokyo, Tokyo, Japan",Tokyo University of Science Investment Management is a group company of Tokyo University of Science.,University Program,,2,"90,628"
WES Ecosystem Fund Canada,https://www.crunchbase.com/organization/wes-ecosystem-fund-canada,8,,"Canada, Kentucky, United States",Women Entrepreneurship Strategy (WES) Ecosystem Fund.,Government Office,Grant,7,"90,609"
The Launch Pad,https://www.crunchbase.com/organization/the-launch-pad,,,"Coral Gables, Florida, United States",The Launch Pad is a novel and successful entrepreneurship initiative developed at the University of Miami.,University Program,"Early Stage Venture, Late Stage Venture, Seed",,"90,598"
Auckland UniServices,https://www.crunchbase.com/organization/auckland-uniservices,2,,"Auckland, Auckland, New Zealand",Auckland UniServices connects University of Auckland researcher's to industry and government and brings research ideas to life.,University Program,,,"90,490"
"The Discovery Fund, Cambridge University",https://www.crunchbase.com/organization/the-discovery-fund-cambridge-university,1,,"Cambridge, Cambridgeshire, United Kingdom","The Discovery Fund, Cambridge University aims to educate students mentored by the worlds leading thinkers.","Micro VC, University Program",Seed,,"90,335"
Innovation Saskatchewan,https://www.crunchbase.com/organization/innovation-saskatchewan,1,,"Saskatoon, Saskatchewan, Canada",Agency of the Saskatchewan government. Provides R&D grants via SAIF and AGF.,Government Office,"Early Stage Venture, Grant, Late Stage Venture",1,"90,092"
Mizuho Marubeni Leasing Corporation,https://www.crunchbase.com/organization/mizuho-marubeni-leasing-america-corporation,2,1,"Tokyo, Tokyo, Japan","Mizuho Marubeni Leasing Corporation provides creative, value-added, and timely financing proposals.",Government Office,,2,"89,959"
Institute for Innovation Law,https://www.crunchbase.com/organization/institute-for-innovation-law,,,"San Francisco, California, United States",The Institute for Innovation Law (Institute) is a public interest academic center at UC Hastings.,University Program,,,"89,762"
Global Infrastructure Hub,https://www.crunchbase.com/organization/global-infrastructure-hub,1,,"Sydney, New South Wales, Australia","Global Infrastructure Hub delivers insights, shares knowledge, and advocates the delivery of sustainable and resilient infrastructure.",Government Office,,1,"89,406"
UM Center for Innovation and Entrepreneurship,https://www.crunchbase.com/organization/um-center-for-innovation-and-entrepreneurship,2,,"Oxford, Mississippi, United States",UM Center for Innovation and Entrepreneurship engages in creating new businesses and economic value.,University Program,,,"89,361"
Leeds City Region Enterprise Partnership,https://www.crunchbase.com/organization/leeds-city-region-enterprise-partnership,3,,"Yorkshire, New York, United States",Unlock the Leeds City Region's vast economic potential by enabling businesses and enterprise to thrive.,Government Office,,3,"89,160"
New York State Assembly,https://www.crunchbase.com/organization/new-york-state-assembly,1,,"Albany, New York, United States",The New York State Assembly is the lower house of the New York State Legislature and the New York State Senate being the upper house.,Government Office,Grant,1,"89,071"
Finance Birmingham,https://www.crunchbase.com/organization/finance-birmingham,23,5,"Birmingham, Birmingham, United Kingdom",Finance Birmingham is an alternative investment fund manager that provides existing SMEs with affordable and flexible finances.,"Government Office, Venture Capital",Private Equity,14,"89,042"
Shanghai Tech University,https://www.crunchbase.com/organization/shanghai-tech-university,,,"Shanghai, Shanghai, China",ShanghaiTech University is a research establishment that commits to serve the national development strategy.,University Program,,,"88,693"
South Australian Research & Development Institute,https://www.crunchbase.com/organization/south-australian-research-development-institute,1,,"Adelaide, South Australia, Australia",South Australian Research & Development Institute provides research and development services.,Government Office,,,"88,655"
Princeton Alumni Entrepreneurs Fund,https://www.crunchbase.com/organization/princeton-alumni-entrepreneurs-fund,5,1,"Princeton, New Jersey, United States",Matching Investments in Early-Stage Startups Founded by Recent Princeton Alumni,"Accelerator, University Program",Seed,,"88,493"
Cal Poly Center for Innovation and Entrepreneurship,https://www.crunchbase.com/organization/cal-poly-center-for-innovation-and-entrepreneurship,,,"San Luis Obispo, California, United States","CIE helps students acquire the tools, develop the skills and cultivate the mindset of an entrepreneur.",University Program,,,"88,438"
St. Louis Economic Development Partnership,https://www.crunchbase.com/organization/st-louis-economic-development-partnership,1,,"St Louis, Missouri, United States","St. Louis Economic Development Partnership is a regional partnership that drives growth, generates prosperity .",Government Office,,,"88,413"
British Columbia Innovative Clean Energy Fund,https://www.crunchbase.com/organization/british-columbia-innovative-clean-energy-fund,5,,"Victoria, British Columbia, Canada",BC-ICE is the primary granting agency for GHG-reducing clean technologies for British Columbia.,Government Office,,4,"88,397"
Association of Commonwealth Universities,https://www.crunchbase.com/organization/association-of-commonwealth-universities,1,,"London, England, United Kingdom",Association of Commonwealth Universities is the oldest international association of universities in the world.,University Program,,,"88,370"
Maryland Energy Administration,https://www.crunchbase.com/organization/maryland-energy-administration,5,,"Baltimore, Maryland, United States",Maryland Energy Administration develops and administers cleaner energy programs to support all business sectors for economic development.,Government Office,,5,"88,369"
University of Toronto Asset Management Corporation,https://www.crunchbase.com/organization/university-of-toronto-asset-management-corporation,2,,"Toronto, Ontario, Canada",University of Toronto Asset Management Corporation was founded in 2000,"Micro VC, University Program",Seed,,"88,230"
Illinois Finance Authority,https://www.crunchbase.com/organization/illinois-finance-authority,2,2,"Chicago, Illinois, United States","The Illinois Finance Authority (IFA) is a self-financed, state authority principally engaged in issuing taxable and tax-exempt bonds,","Government Office, Venture Capital",Early Stage Venture,,"88,222"
Ohio Department of Higher Education,https://www.crunchbase.com/organization/ohio-department-of-higher-education,1,,"Columbus, Ohio, United States",The Ohio Department of Higher Education  is a Cabinet-level agency for the Governor of the State of Ohio,University Program,,1,"88,180"
Connecting Minority Communities Pilot Program,https://www.crunchbase.com/organization/connecting-minority-communities-pilot-program,1,,"Washington, District of Columbia, United States",Connecting Minority Communities Pilot Program is a Grant program.,University Program,Grant,1,"88,162"
Local Policy Innovation Partnership,https://www.crunchbase.com/organization/local-policy-innovation-partnership,10,,"Swindon, Wiltshire, United Kingdom",Local Policy Innovation Partnership focuses on investments.,Government Office,,10,"87,897"
Chile Digital,https://www.crunchbase.com/organization/chile-digital,,,"Santiago, Region Metropolitana, Chile","Encourage business development, networking and training of professionals in Chile and Latin America.",University Program,,,"87,827"
Total Developpement Regional,https://www.crunchbase.com/organization/total-developpement-regional,1,,"Courbevoie, Ile-de-France, France",Total Developpement Regional is an investment firm it is involved in the development and economic support of the territories,Government Office,,,"87,712"
North Central Massachusetts Chamber of Commerce,https://www.crunchbase.com/organization/north-central-massachusetts-chamber-of-commerce,3,,"Fitchburg, Massachusetts, United States","North Central Massachusetts Chamber of Commerce is business advocacy, economic development organization.",Government Office,,3,"87,677"
Partnership for a Secure America,https://www.crunchbase.com/organization/partnership-for-a-secure-america,,,"Washington, District of Columbia, United States",PSA is dedicated to recreating the bipartisan center in American national security and foreign policy.,Government Office,,,"87,400"
Tourism Development Fund,https://www.crunchbase.com/organization/tourism-development-fund,1,,"Riyadh, Ar Riyad, Saudi Arabia",Tourism Development Fund was established by Royal Decree in to empower one of the Kingdom’s most rapidly growing industries.,Government Office,,,"87,304"
United Education Company,https://www.crunchbase.com/organization/united-education-company,1,,"Kuwait, Al Kuwayt, Kuwait",United Education Company provides educational services.,University Program,,1,"87,265"
Honduras Startup,https://www.crunchbase.com/organization/honduras-startup,2,1,"Tegucigalpa, Francisco Morazan, Honduras","Honduran Institute of Science Technology and Innovation, IHCIETI","Accelerator, Entrepreneurship Program, University Program",Seed,1,"87,164"
UNI,https://www.crunchbase.com/organization/unified-business-solution,,,"Summerville, Georgia, United States","UNI is a private non-profit association that has been studying, developing, publishing, and disseminating standards.","Angel Group, Co-Working Space, Entrepreneurship Program, Family Investment Office, Government Office, Investment Bank, Micro VC, Startup Competition","Grant, Initial Coin Offering, Secondary Market",,"87,107"
Cloud Incubator Hub,https://www.crunchbase.com/organization/cloud-incubator-hub,,,"Cartagena, Murcia, Spain",HUB is a Cloud Incubator Accelerator Startups and entrepreneurial projects in seed stage.,"Accelerator, Co-Working Space, Entrepreneurship Program, University Program","Early Stage Venture, Non Equity Assistance, Seed",,"87,099"
Corallia - Hellenic Technology Cluster Initiative,https://www.crunchbase.com/organization/corallia-hellenic-technology-cluster-initiative,2,,"Athens, Attiki, Greece","With a vision 'to Greece with an environment that will allow science, innovation and entrepreneurship to flourish (again)'.","Government Office, Incubator",Grant,,"87,085"
New Jersey Department of Corrections,https://www.crunchbase.com/organization/new-jersey-department-of-corrections,1,,"Trenton, New Jersey, United States",New Jersey Department of Corrections is a government organization that specializes in victim-witness advocacy and law enforcement services.,Government Office,,1,"86,754"
Massachusetts Competitive Partnership (MACP),https://www.crunchbase.com/organization/massachusetts-competitive-partnership,,,"Boston, Massachusetts, United States","MACP is a non-profit, non-partisan organiztion.",Government Office,,,"86,708"
California Department of Social Services,https://www.crunchbase.com/organization/california-department-of-social-services,1,,"Sacramento, California, United States",California Department of Social Services funds several programs that assist underprivileged and vulnerable children and adults.,Government Office,,1,"86,613"
Innovationsförderung Hessen,https://www.crunchbase.com/organization/innovationsförderung-hessen,1,,,Innovationsförderung Hessen provides support for innovative projects from the initial idea to project completion in their funding programs.,Government Office,,,"86,399"
Ostersjöstiftelsen,https://www.crunchbase.com/organization/ostersjostiftelsen,8,1,"Huddinge, Stockholms Lan, Sweden","Östersjöstiftelsen, an academic investment group, supports research, medical student trainings, and the academic infrastructure in Sweden.",University Program,,,"86,394"
Grant Connect,https://www.crunchbase.com/organization/grant-connect,1,,,GrantConnect provides centralised publication of forecast and current Australian Government grant opportunities and grants awarded,Government Office,,,"86,102"
Enterprise Center of Johnson County,https://www.crunchbase.com/organization/enterprise-center-of-johnson-county,1,,"Lenexa, Kansas, United States","Located in Lenexa, KS, The Enterprise Center of Johnson County is a venture development organization providing business consulting,",Government Office,,1,"86,072"
Bureau of Energy Efficiency,https://www.crunchbase.com/organization/bureau-of-energy-efficiency,1,,"New Delhi, Delhi, India",Bureau of Energy Efficiency is to develop programs which will increase the conservation and efficient use of energy in India.,Government Office,,1,"85,961"
Bishop's University,https://www.crunchbase.com/organization/bishops-university,1,,"Quebec, Quebec, Canada","Bishop's University is a predominantly undergraduate university in Lennoxville, Sherbrooke, Quebec, Canada.",University Program,,,"85,916"
Spanish Agency for International Development Cooperation (AECID),https://www.crunchbase.com/organization/spanish-agency-for-international-development-cooperation-aecid,1,,"Madrid, Madrid, Spain",AECID is a public law entity under the Ministry of Foreign Affairs and Cooperation of Spain.,Government Office,,1,"85,860"
Michigan Department of Labor and Economic Opportunity,https://www.crunchbase.com/organization/michigan-department-of-labor-and-economic-opportunity,1,,"Michigan, North Dakota, United States","Michigan Department of Labor and Economic Opportunity (LEO) provides the connections, expertise, and innovative solutions.",Government Office,,1,"85,618"
Institute of Education Sciences,https://www.crunchbase.com/organization/institute-of-education-sciences,5,1,"Washington, District of Columbia, United States","The nation’s leading source for rigorous, independent education research, evaluation and statistics.",Government Office,,3,"85,566"
FGV Ventures,https://www.crunchbase.com/organization/gventures,2,,"São Paulo, Sao Paulo, Brazil",FGV Ventures is the first university based accelerator in Brazil. We are a no equity and no fee accelerator that boosts super seed companies,"Accelerator, University Program",Seed,1,"85,457"
NSW Medical Devices Fund,https://www.crunchbase.com/organization/nsw-medical-devices-fund,2,,"Sydney, New South Wales, Australia",NSW Medical Devices Fund is a  competitive technology development and commercialisation program funded by the NSW Government.,Government Office,,2,"85,357"
Massachussetts Broadband Institute,https://www.crunchbase.com/organization/massachussetts-broadband-institute,1,,"Westborough, Massachusetts, United States",Massachussetts Broadband Institute is a Government Organization that works to make internet and braodband affordable and accessible.,Government Office,Grant,1,"85,317"
The New Jersey Department of Community Affairs,https://www.crunchbase.com/organization/department-of-community-affairs,1,,"Trenton, New Jersey, United States","The New Jersey Department of Community Affairs offers administrative guidance, financial support and technical assistance.",Government Office,Grant,1,"85,307"
"Kementerian Riset, Teknologi, dan Pendidikan Tinggi (Kemenristekdikti)",https://www.crunchbase.com/organization/kementerian-riset-teknologi-dan-pendidikan-tinggi-kemenristekdikti,2,,"Jakarta Pusat, Jakarta Raya, Indonesia","Kementerian Riset, Teknologi, dan Pendidikan Tinggi is Indonesian governmental institution of research, technology, and higher education.",Government Office,"Early Stage Venture, Grant, Seed",1,"84,982"
LVPA,https://www.crunchbase.com/organization/lvpa,1,,"Vilnius, Vilniaus Apskritis, Lithuania",Lithuanian Business Support Agency,Government Office,,1,"84,919"
Vanderbilt University Office of Investments,https://www.crunchbase.com/organization/vanderbilt-university-office-of-investments,2,1,"Nashville, Tennessee, United States",The Vanderbilt University Office of Investments administers the endowment fund for the University and Medical Center.,"Accelerator, Incubator, University Program",Early Stage Venture,,"84,708"
University of Bristol Enterprise Fund,https://www.crunchbase.com/organization/university-of-bristol-enterprise-fund,8,,"London, England, United Kingdom",University of Bristol Enterprise Fund is a commercial organization that provides in private investors opportunities.,University Program,,1,"84,583"
Canada Economic Development,https://www.crunchbase.com/organization/canada-economic-development,12,,"Montréal, Quebec, Canada","Canada Economic Development assists businesses, communities, and the organizations that support them through its network .",Government Office,,11,"84,491"
Columbia Venture Competition,https://www.crunchbase.com/organization/columbia-venture-competition,2,,"New City, New York, United States",StartupColumbia Festival is the University's two-day event that brings together our Startup Community in celebration of innovation.,University Program,,1,"84,352"
Innovation Center Iceland,https://www.crunchbase.com/organization/innovation-center-iceland,2,,"Reykjavík, Gullbringusysla, Iceland",Innovation Center Iceland encourages innovation and promotes the advancement of new ideas in Icelandic economy.,Government Office,,,"84,313"
Las Rozas Innova,https://www.crunchbase.com/organization/las-rozas-innova,6,,"Las Rozas De Madrid, Madrid, Spain","Las Rozas Innova integrates technology and inventive ecosystems, attracting investment and talent and encouraging entrepreneurs,",Government Office,,6,"84,284"
Space Florida-Israel Innovation Partnership Program,https://www.crunchbase.com/organization/space-florida-israel-innovation-partnership-program,1,,"Florida, New York, United States",Space Florida-Israel Innovation Partnership Program supports joint aerospace research & development projects.,Government Office,,1,"84,125"
StartInUp Gov. Of Uttar Pradesh,https://www.crunchbase.com/organization/startinup-gov-of-uttar-pradesh,2,,"Lucknow, Uttar Pradesh, India",Government Of Uttar Pradesh,Government Office,,,"84,109"
National Institute on Minority Health and Health Disparities,https://www.crunchbase.com/organization/national-institute-on-minority-health-and-health-disparities,12,,"Bethesda, Maryland, United States",NIMHD oversees several programs central to NIH's mission of uncovering new knowledge that will lead to better health for everyone.,Government Office,,5,"84,020"
Iowa Finance Authority,https://www.crunchbase.com/organization/iowa-finance-authority,1,,"Des Moines, Iowa, United States","Iowa Finance Authority offers financial resources to strengthen homeownership, affordable rental housing and agricultural businesses.",Government Office,,1,"83,987"
ForumOxford (at the University of Oxford),https://www.crunchbase.com/organization/forumoxford,2,,,Mobile Apps & Technologies Conference,University Program,,,"83,889"
London Development Agency (LDA),https://www.crunchbase.com/organization/london-development-agency-lda,4,3,"London, England, United Kingdom","London Development Agency (LDA) responsible for making London a sustainable world city with strong, long-term economic growth.",Government Office,Grant,2,"83,877"
National Parks and Wildlife Service,https://www.crunchbase.com/organization/national-parks-and-wildlife-service,1,,"Dublin, Dublin, Ireland",The National Parks and Wildlife Agency oversees the Irish State's obligations on nature preservation.,Government Office,,1,"83,849"
Indiana Community Development,https://www.crunchbase.com/organization/indiana-community-development,1,,,The Indiana Community Development Fund helps community-interested assets focused on early-stage businesses in Indiana.,Government Office,,1,"83,820"
The Safety Tech Challenge Fund,https://www.crunchbase.com/organization/the-safety-tech-challenge-fund,5,,"London, England, United Kingdom",STCF will drive the development of innovative technologies that help keep children safe in end-to-end encrypted environments.,Government Office,Grant,5,"83,622"
British Columbia Salmon Restoration and Innovation Fund (BCSRIF).,https://www.crunchbase.com/organization/british-columbia-salmon-restoration-and-innovation-fund-bcsrif,3,,"Ottawa, Ontario, Canada",BCSRIF is a to support BC’s fish and seafood sector and to ensure the sustainability of wild Pacific salmon and other BC fish stocks.,Government Office,,3,"83,533"
Chicago Cook Workforce Partnership,https://www.crunchbase.com/organization/chicago-cook-workforce-partnership,1,,"Chicago, Illinois, United States",The Chicago Cook Workforce Partnership is a non-profit corporation that oversees the public workforce system in Chicago and Cook County.,Government Office,,1,"83,469"
