Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Lead Investments,CB Rank (Investor)
Virginia Department of Medical Assistance,https://www.crunchbase.com/organization/virginia-department-of-medical-assistance,,,"Richmond, Virginia, United States",The Virginia Department of Medical Assistance improves people's health by providing access to high-quality health care coverage.,Government Office,,,"68,191"
Zero Waste Scotland,https://www.crunchbase.com/organization/zero-waste-scotland,4,,"Stirling, Stirling, United Kingdom","Zero Waste Scotland create a more circular economy and help Scotland realise the economic, environmental and social benefits.",Government Office,,4,"68,000"
Maine Department of Health and Human Services,https://www.crunchbase.com/organization/maine-department-of-health-and-human-services,1,,"Augusta, Maine, United States","The Maine Department of Health and Human Services (DHHS) is dedicated to promoting health, safety, resilience, and opportunity.",Government Office,,1,"67,970"
GMPF,https://www.crunchbase.com/organization/gmpf,2,1,"Droylsden, Tameside, United Kingdom","GMPF is a government organization that provides pension funds, employee benefits, retirement planning, and life cover services.",Government Office,,1,"67,751"
Research England,https://www.crunchbase.com/organization/research-england,5,,"Bristol, Bristol, City of, United Kingdom",Research England is a new council within UK Research and Innovation.,Government Office,,4,"67,625"
Mastercard Foundation Fund for Rural Prosperity,https://www.crunchbase.com/organization/mastercard-foundation-fund-for-rural-prosperity,13,1,"Nairobi, Nairobi Area, Kenya",The Mastercard Foundation Fund for Rural Prosperity is on its way to transforming lives,Government Office,Grant,7,"67,619"
Brustart,https://www.crunchbase.com/organization/brustart,6,1,"Brussel, Brussels Hoofdstedelijk Gewest, Belgium","More than financing alone! The Brussels Regional Investment provides financial support for the creation, reorganization and expansion of","Government Office, Private Equity Firm",Seed,,"67,466"
Tanoto Foundation,https://www.crunchbase.com/organization/tanoto-foundation,1,,"Jakarta, Jakarta Raya, Indonesia",Tanoto Foundation is an independent family philanthropy organization.,Government Office,,1,"67,386"
Lund University Bioscience,https://www.crunchbase.com/organization/lund-university-bioscience,2,,"Lund, Skane Lan, Sweden",LU Bio is a holding company partially owned by Lund University.,University Program,,,"67,112"
Government of South Australia,https://www.crunchbase.com/organization/government-of-south-australia,8,3,"Adelaide, South Australia, Australia",Government of South Australia is the Australian state's democratic administrative authority.,Government Office,"Grant, Venture",8,"66,992"
Arkansas Department of Transportation,https://www.crunchbase.com/organization/arkansas-department-of-transportation,2,,"Little Rock, Arkansas, United States",Arkansas Department of Transportation is a government organization that focuses on providing better transportation systems.,Government Office,,2,"66,884"
EKF,https://www.crunchbase.com/organization/ekf,2,,"Copenhagen, Hovedstaden, Denmark",EKF is a provider of export support services and assists companies with financing and political risks within the exporting of goods.,"Government Office, Venture Debt",Debt,1,"66,818"
Gwangju Institute of Science and Technology,https://www.crunchbase.com/organization/gwangju-institute-of-science-and-technology,3,,"Gwangju, Kwangju-jikhalsi, South Korea",Gwangju Institute of Science and Technology is a research-oriented university.,University Program,,1,"66,701"
ETHEREUM,https://www.crunchbase.com/organization/ethereum-10e3,1,,"Atlanta, Georgia, United States",FINANCIAL INSTITUTION,"Accelerator, Corporate Venture Capital, Government Office",Private Equity,,"66,604"
CatalyzeCU,https://www.crunchbase.com/organization/catalyzecu,14,,"Boulder, Colorado, United States","Catalyze CU is a summer-long startup accelerator designed for CU students, faculty, and staff.","Accelerator, University Program",Grant,1,"66,579"
Stone Digital,https://www.crunchbase.com/organization/stone-digital,,,"New York, New York, United States",The company is a digital merchant bank focused on developing new scalable financial technologies / digital securities,"Angel Group, Corporate Venture Capital, Family Investment Office, Government Office, Investment Bank, Pension Funds, Venture Capital",Early Stage Venture,,"66,495"
Center for the Advancement of Science in Space,https://www.crunchbase.com/organization/center-for-the-advancement-of-science-in-space,6,,"Merritt Island, Florida, United States",Center for the Advancement of Science in Space accelerates discoveries that enhance the health and wellbeing of people on earth.,Government Office,Grant,1,"66,439"
Atal Innovation Mission,https://www.crunchbase.com/organization/atal-innovation-mission,3,,"New Delhi, Delhi, India",Atal Innovation Mission is the Indian Government's initiative to create and promote a culture of innovation and entrepreneurship.,Government Office,Seed,3,"66,220"
NOAA Technology Partnerships Office,https://www.crunchbase.com/organization/noaa-technology-partnerships-office,2,,"Silver Spring, Maryland, United States",The NOAA Technology Partnerships Office provides SBIR and STTR grants for small businesses.,Government Office,Grant,2,"66,217"
Zhejiang University Youchuang,https://www.crunchbase.com/organization/zhejiang-university-youchuang,11,,"Hangzhou, Zhejiang, China",Zhejiang University Youchuang is an investment management institution initiated and established by Zhejiang University.,University Program,,3,"66,150"
Office of Juvenile Justice and Delinquency Prevention (OJJDP),https://www.crunchbase.com/organization/office-of-juvenile-justice-and-delinquency-prevention-ojjdp,1,,"Washington, District of Columbia, United States",Office of Juvenile Justice and Delinquency Prevention is an office of the United States Department of Justice .,Government Office,,1,"66,124"
Government of Norway,https://www.crunchbase.com/organization/government-of-norway,3,1,"Oslo, Oslo, Norway",Norwegian Government central office of the Council of State and the Government.,Government Office,,1,"65,981"
California Workforce Development Board,https://www.crunchbase.com/organization/california-workforce-development-board,4,,"Sacramento, California, United States",The California Workforce Development Board (CWDB) is the Governor's agent in charge of developing.,"Government Office, Venture Capital","Grant, Late Stage Venture, Venture",4,"65,766"
University of Manchester Innovation Factory,https://www.crunchbase.com/organization/university-of-manchester-intellectual-property,,,"Manchester, Manchester, United Kingdom",University of Manchester Innovation Factory Limited works with any matter relating to intellectual property.,University Program,,,"65,598"
Siddhartha Bank,https://www.crunchbase.com/organization/siddhartha-bank,1,,"Kathmandu, Bagmati, Nepal",Siddhartha Bank is a commercial bank that offers financial services.,Government Office,,,"65,483"
Finpiemonte S.p.A.,https://www.crunchbase.com/organization/finpiemonte-s-p-a,4,,"Torino, Piemonte, Italy","Finpiemonte S.p.A. is a financial services company based in Torino, Italy.",Government Office,,,"65,276"
MBK,https://www.crunchbase.com/organization/mbk,4,1,"Tokyo, Tokyo, Japan",Merchant Bankers is a merchant banking company that provides client companies with advanced and client-driven solutions.,"Government Office, Investment Bank, Private Equity Firm, Syndicate, Venture Capital","Early Stage Venture, Late Stage Venture, Private Equity, Venture",4,"65,249"
The Legatum Center at MIT,https://www.crunchbase.com/organization/the-legatum-center,1,,"Cambridge, Massachusetts, United States",The Legatum Center is passionate about improving lives through entrepreneurial leadership in the developing world.,University Program,,,"65,206"
