Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Stock Symbol,Stock Symbol URL,Stock Exchange
Worldclass,https://www.crunchbase.com/organization/worldclass-25ad,"Food and Beverage, Grocery, Seafood, Wholesale","Phoenix, Arizona, United States","Worldclass is a trading company that offers export and import services for a wide range of seafood, meat, dairy, and specialty products.","584,631","Greater Phoenix Area, Western US",,Active,2020-01-01,year,,,,,For Profit,https://www.worldclass.com/,,"Commerce and Shopping, Food and Beverage",1,John Bergman,11-50,,,,,,,,,,,,,Private,,,,,,
UltraVideo Software,https://www.crunchbase.com/organization/ultravideo-software,"Information Technology, Software, Video","Magnolia Springs, Alabama, United States",UltraVideo Software is a computer software company that provides service in point of sale programs for retail video rental stores.,"584,632",Southern US,$1M to $10M,Active,1987-01-01,year,,,,,For Profit,http://www.ultravideo.com,"UltraVideo Software provides photo id and document storage database program. They also offer video rental management program, ultravideo for DOS, rental management, and point of sale programs for retail video rental stores.","Information Technology, Media and Entertainment, Software, Video",,,11-50,,,,,,,,,,,,,Private,,,,,,
SciLog,https://www.crunchbase.com/organization/scilog,"Health Care, Medical Device, Sensor","Middleton, Wisconsin, United States",The SciLog Family of sensing solutions has been designed with bioprocessing applications in mind.,"584,634","Great Lakes, Midwestern US",,Closed,1990-01-01,year,2014-01-31,day,,none,For Profit,http://www.scilog.com,"SciLog Inc, based in Madison, Wisconsin, was established in 1990.  It provides sensor technology and automated lab-scale and production systems for the biopharmaceutical industry.","Hardware, Health Care",,,11-50,,M&A,,,,,,,,,,,Private,,,,,,
Family Legacy Wealth Management,https://www.crunchbase.com/organization/family-legacy-wealth-management,"Advice, Consulting, Financial Services, Insurance, Wealth Management","Charlotte, North Carolina, United States",Family Legacy Wealth Management provides financial planning and investment advisory services.,"584,637","East Coast, Southern US",$1M to $10M,Active,,,,,,,For Profit,https://www.familylwm.com,"Family Legacy operates in the financial services sector, offering wealth management and advice. The company focuses on planning for financial confidence in retirement, providing a process that includes a close review of personal finances and an assessment of other building blocks. They also offer strategies for spending less than one's income and finding ways to put the excess to work. Additionally, Family Legacy provides guidance on creating a life map to balance work and lifestyle matters. They also offer principles and strategies for creating an investment portfolio that reflects a client's risk tolerance, time horizon, and goals.","Financial Services, Media and Entertainment, Professional Services",,,1-10,,,,,,,,,,,,,Private,,,,,,
In Your Face Apparel,https://www.crunchbase.com/organization/in-your-face-apparel,"Apparel, E-Commerce, Fashion, Manufacturing, Shopping","Carrollton, Texas, United States",In Your Face Apparel is a custom apparel company.,"584,639","Dallas/Fort Worth Metroplex, Southern US",$10M to $50M,Active,2003-01-01,year,,,,,For Profit,http://www.inyourfaceapparel.com/,"In Your Face Apparel began as a small custom apparel company in Dallas Texas. Within 10 years, the business has evolved into a dynamic apparel manufacturing & custom decorating facility, focused on innovative product development, fashion trends, and producing the highest quality products.","Clothing and Apparel, Commerce and Shopping, Design, Manufacturing",,,101-250,,,,,,,,,,,,,Private,,,,,,
Markzware,https://www.crunchbase.com/organization/markzware,Software,"Santa Ana, California, United States","Markzware products for graphic design and desktop publishing include PDF2DTP, PageZephyr, FlightCheck, Q2ID, PUB2ID, ID2Q & MarkzTools.","584,641","Greater Los Angeles Area, West Coast, Western US",$50M to $100M,Active,1992-01-01,year,,,,,For Profit,http://www.markzware.com,"Markzware products for graphic design and desktop publishing include PDF2DTP, PageZephyr, FlightCheck, Q2ID, PUB2ID, ID2Q & MarkzTools.",Software,1,Patrick Marchese,11-50,,,,,,,,,,,,,Private,,,,,,
Boys Town National Research Hospital,https://www.crunchbase.com/organization/boys-town-national-research-hospital,"Health Care, Hospital, Non Profit","Boys Town, Nebraska, United States","Boys Town National Research Hospital is a clinical and research hospital that focuses on childhood deafness, language, and communication.","584,641",Midwestern US,,Active,1977-01-01,year,,,,,Non-profit,https://www.boystownhospital.org,,"Health Care, Other, Social Impact",,,251-500,,,,,,,,,,,,,Private,,,,,,
Barton Staffing Solutions,https://www.crunchbase.com/organization/barton-staffing-solutions,"Customer Service, Recruiting, Staffing Agency","Aurora, Illinois, United States",Barton Staffing Solutions is a staffing agency company located in Aurora.,"584,642","Greater Chicago Area, Great Lakes, Midwestern US",,Active,1998-01-01,day,,,,,For Profit,https://www.bartonstaffing.com/,,"Administrative Services, Other, Professional Services",,,,,,,,,,,,,,,,Private,,,,,,
Urban Moment,https://www.crunchbase.com/organization/urban-moment,"Construction, Property Development, Real Estate","Austin, Texas, United States","Urban Moment is a real estate development company that specializes in development, construction, and asset management.","584,642",Southern US,$1M to $10M,Active,2003-01-01,year,,,,,For Profit,https://urbanmoment.com,,Real Estate,,,1-10,,,,,,,,,,,,,Private,,,,,,
MPH Industries,https://www.crunchbase.com/organization/mph-industries,"Manufacturing, Public Safety","Owensboro, Kentucky, United States",MPH Industries are manufacturers of both speed measurement and mobile video electronics systems.,"584,643",Southern US,$10M to $50M,Active,1976-01-01,day,,,,,For Profit,https://www.mphindustries.com/,,"Government and Military, Manufacturing",,,11-50,,,,,,,,,,,,,Private,,,,,,
