Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
The Chicken Rice Shop,https://www.crunchbase.com/organization/the-chicken-rice-shop,Restaurants,"Petaling, Kuala Lumpur, Malaysia","The Chicken Rice Shop serves traditionally prepared steamed, roasted, honey barbecued and soy sauce chicken as its signature products.","276,387",Active,2000-06-01,month,2019-06-13,day,,,For Profit,https://www.thechickenriceshop.com/,"The Chicken Rice Shop serves traditionally prepared steamed, roasted, honey barbecued and soy sauce chicken as its signature products.",M&A,,,
HeyProp,https://www.crunchbase.com/organization/heyprop,"PropTech, Real Estate","Kuala Lumpur, Kuala Lumpur, Malaysia",HeyProp Property Technology Empower the real estate ecosystem with ease and a fantastic user experience.,"290,329",Active,2004-01-01,year,,,,,For Profit,https://www.heyprop.com,HeyProp Property Technology Empower the real estate ecosystem with ease and a fantastic user experience.,,,USD,
Symphony BPO Solution Sdn. Bhd,https://www.crunchbase.com/organization/symphony-bpo-solution-sdn-bhd,"Consulting, CRM, Information Technology","Selangor, Selangor, Malaysia","We provides business process outsourcing services(BPO) to corporations and conglomerates in the Asia Pacific, the United States and Europe.","292,005",Active,2000-01-01,year,,,,,For Profit,http://www.symphony.com.my,,,,,
KPTM,https://www.crunchbase.com/organization/kptm,"Education, Higher Education, Universities","Kuala Lumpur, Kuala Lumpur, Malaysia","KPTM is a private higher education institution that offers educational opportunities in IT, computer science, accounting and engineering.","300,747",Active,2003-09-01,month,,,,,For Profit,https://www.kptm.edu.my,,,,,
IGS,https://www.crunchbase.com/organization/igs,"Cloud Computing, Cloud Infrastructure, IaaS, Information Technology, Virtualization","Kuala Lumpur, Kuala Lumpur, Malaysia","IGS is an IT solution firm that offers virtualization, IaaS, and IT cloud computing services.","301,871",Active,2003-01-01,year,,,,,For Profit,https://www.igsb.com.my,,,,,
Authentic Ventures,https://www.crunchbase.com/organization/authentic-ventures,"Information Technology, Software","Bandar Baru Bangi, Selangor, Malaysia",Authentic Venture provides cloud solutions in Malaysia.,"304,666",Active,2002-01-01,year,,,,,For Profit,http://ventures.com.my/,Authentic Venture provides cloud solutions in Malaysia.,,,,
Merimen,https://www.crunchbase.com/organization/merimen,"Infrastructure, Insurance, InsurTech, SaaS, Software","Serdang, Negeri Sembilan, Malaysia","Merimen is leader in enterprise solutions for the insurance industry in the asia-pacific region, middle-east and north africa. ","311,105",Active,2000-01-01,year,,,,,For Profit,http://www.merimen.com,"Merimen is a market leader in providing a collaborative and information exchange platform for the insurance industry. As the pioneer in offering Software as a Service (SaaS) for the motor insurance industry, they have successfully deployed this model throughout the insurance ecosystem communities. They have enabled their clients to grow without disproportionate overheads and provided rapid transformation capabilities with lower risks and predictable cost using their infrastructure.",,,,
Orion IXL Berhad,https://www.crunchbase.com/organization/orion-ixl-bhd,"Health Care, Information Technology","Selangor, Selangor, Malaysia","Orion IXL Berhad is a technology and business solutions provider in sectors like healthcare, oil & gas, hospitality, ICT.","324,826",Active,2001-08-01,day,2005-05-10,day,,,For Profit,http://www.orionixl.com.my,,IPO,,,
LBS,https://www.crunchbase.com/organization/lbs,"Construction, Property Development, Real Estate","Petaling Jaya, Selangor, Malaysia",LBS is a real estate company that develops residential and commercial properties.,"325,287",Active,2000-06-29,day,2002-01-30,day,,,For Profit,https://lbs.com.my/,"LBS is engaged in the real estate business. They develop residential, industrial, and commercial properties. They were involved in design and construction projects, civil engineering, general construction, and piling activities.",IPO,,,
N2N Connect,https://www.crunchbase.com/organization/n2n-connect,"Financial Services, Information Technology","Kuala Lumpur, Kuala Lumpur, Malaysia",N2N Connect is a service provider for the capital market and for network and infrastructure solutions.,"334,282",Active,2000-08-10,day,2005-11-28,day,,,For Profit,http://www.n2nconnect.com/,"N2N Connect offers server hosting, server, and storage management for data backup, availability, and recovery. They also provide capital market solutions that include e-brokers, trading hubs, trading solutions, information terminals, asset management, algorithmic trading, and market makers.",IPO,,,
