Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
Ezyhaul,https://www.crunchbase.com/organization/ezyhaul,"Computer, Internet, Transportation","Singapore, Central Region, Singapore",Ezyhaul is a rapidly growing technology company.,"43,846",Active,2016-01-01,year,,,,,For Profit,https://www.ezyhaul.com,"Ezyhaul is a rapidly growing technology company that is focused on transforming the road freight industry. Their online, on-demand freight exchange platform connects shippers with pre-qualified and reliable domestic carriers who have unutilized capacity on their trucks.",Early Stage Venture,21840000,USD,21840000
Rely,https://www.crunchbase.com/organization/rely-265a,"Financial Services, Product Design, Service Industry, Shopping","Singapore, Central Region, Singapore",Rely is a company provides Singaporean shoppers  to manage their online shopping spending” by offering an interest-free installment service.,"44,629",Active,2016-01-01,year,2022-03-30,day,,,For Profit,https://www.rely.sg,"The company provides Singaporean shoppers with a “way to manage their online shopping spending” by offering an interest-free installment service. Its “buy now, pay later” plan allows shoppers to break the payment for their purchases into three equal monthly repayments. It uses AI and machine learning to determine the repayment capacity for each transaction.",M&A,100000000,SGD,74754897
Fundamental Labs,https://www.crunchbase.com/organization/fundamental-labs,,"Singapore, Central Region, Singapore",Fundamental Labs is a venture capital firm that invests in Web3 technology.,"44,847",Active,2016-01-01,year,,,,,For Profit,http://www.fundamentallabs.com/,"A Web3 specialized VC fund, investing in the fundamental innovations that reshape the economy and the society.",,,,
Ackcio,https://www.crunchbase.com/organization/ackcio,"Communications Infrastructure, Construction, Wireless","Singapore, Central Region, Singapore","Ackcio builds real-time, reliable, wireless, monitoring solutions for industrial applications.","45,867",Active,2016-01-01,year,,,,,For Profit,https://www.ackcio.com/,"Ackcio builds real-time, reliable, wireless, monitoring solutions for industrial applications.",Early Stage Venture,5533500,SGD,4128473
Lighthouse Canton,https://www.crunchbase.com/organization/lighthouse-canton,"Asset Management, Financial Services, Venture Capital, Wealth Management","Singapore, Central Region, Singapore",Lighthouse Canton is a global investment institution offering wealth and asset management services.,"48,845",Active,2016-01-01,year,,,,,For Profit,https://www.lighthouse-canton.com/,"Lighthouse Canton is a global investment institution offering wealth and asset management services. Led by an experienced senior management team, we work with clients across geographies from our Singapore, Dubai, and India offices.   We provide our clients and investors with data-backed, well-researched investment guidance, aided by our robust institutional framework. No matter what a client's specific need, we bring the same diligence and care, working together to achieve sustainable goals. Our strengths lie in both raising capital and managing it. As a founder-led company, we understand the journey an entrepreneur takes. Startups need the right skills, guidance, management discipline, and structure to sail smoothly amid growth opportunities and unpredictable challenges. We work with founders with capital across their business lifecycle, from early years to scale until post divestment. We bundle together all the elements of startup development and bridge the gap from ideas to outcomes, to walk with you through the complete journey from venture to wealth management.",,,,
Gnowbe,https://www.crunchbase.com/organization/gnowbe,"Enterprise Software, Human Resources, Insurance, Real Estate, Sales","Singapore, Central Region, Singapore",Gnowbe is an award-winning performance enablement platform with rapid authoring and a full suite of enterprise-ready features.,"48,944",Active,2016-01-01,year,,,,,For Profit,https://www.gnowbe.com/,"Gnowbe is an award-winning performance enablement platform with rapid authoring and a full suite of enterprise-ready features. A curated course library and marketplace are also available along with a selection of templates to enable turnkey course and content creation. The app/platform features community boards for shared learning and engagement, scheduled session deployment, rapid curation accessing multimedia options, gamification, offline access and push notifications. Gnowbe makes learning fun, engaging, and effective enabling understanding, retention and application, whilst our detailed dashboard conveys detailed completion status and training effectiveness. Use cases include corporate training and communications (including sales enablement, product training, employee engagement, upskilling/reskilling, compliance, safety, and wellness training), education, training (asynchronous and synchronous, blended learning) and NGO enablement.  With a seamless desktop/mobile experience and support for over 100 languages, Gnowbe is able to support your organization any time, anywhere.",Seed,2018481,USD,2018481
Intelligent Video Solutions,https://www.crunchbase.com/organization/ivideosmart,"Advertising, Content Marketing, Publishing, Video","Singapore, Central Region, Singapore",Intelligent Video Solutions is an online video platform and advertising technology company.,"52,486",Active,2016-01-01,year,2023-04-19,day,,,For Profit,https://ivs.tv/,"Intelligent Video Solutions provides publishers and broadcasters with seamless and cost-effective video distribution, as well as a premium instream video marketplace for advertisers. It aims to create new revenue streams for publishers and advertisers by improving media engagement and delivering relevant video content to consumers in a friendly and less intrusive manner. The company offers a ready-to-use video solution that uses artificial intelligence (AI) and machine learning (ML) to improve monetization and consumer engagement.",M&A,11200000,USD,11200000
CaterSpot,https://www.crunchbase.com/organization/caterspot,"B2B, Catering, E-Commerce, Food and Beverage, Local, Retail","Singapore, Central Region, Singapore","CaterSpot is a catering service company that offers meal plans, pantry management, and catering for meetings, events, and office meals.","54,051",Active,2016-01-01,year,,,,,For Profit,https://www.caterspot.sg/,"Caterspot is an online B2B catering marketplace that connects companies with catering options. They provide catering services including meal plans, pantry management, and catering for meetings, events, and office meals. They manage workplace food services from catering and pantry snacks to packages.",Seed,800000,USD,800000
The Great Room,https://www.crunchbase.com/organization/the-great-room,"Coworking, Hospitality","Singapore, Central Region, Singapore",The Great Room is a hospitality inspired co-working space.,"54,355",Active,2016-01-01,year,2022-05-09,day,,,For Profit,https://thegreatroom.co/,"The Great Room is a hospitality inspired co-working space. Hospitality is a way of life for them — a living philosophy. It permeates everything they do at The Great Room. Though workplace styles change, their dedication to changing the way people feel about going to work never will. They set the stage for you to gather your ideas, to be inspired by others and to do great work. In many of the world's finest homes, a space known as The Great Room forms the heart of the property. It's an area that lends itself to quiet discussion, moments of thought and study- but also serves spectacularly for meeting, socialising and entertaining, whether intimately or on a grand scale. It's a superb spot for a think or a drink, for business or for pleasure. This is the inspiration behind Singapore's most sophisticated co-work group, The Great Room. ",M&A,5000000,USD,5000000
SONM,https://www.crunchbase.com/organization/sonm,"Blockchain, Cloud Computing, Information Technology","Singapore, Central Region, Singapore",SONM’s blockchain-based decentralized fog computing platform. ,"59,583",Active,2016-01-01,year,,,,,For Profit,https://sonm.com,"SONM, the autonomous decentralized system and blockchain-based marketplace, offers a comprehensive alternative to the cloud using a fog computing structure. SONM allows users to connect their personal devices to one virtual space, creating a decentralized platform where consumers and suppliers can rent and purchase computing power from one another to be used for specific computerized tasks. SONM released its MVP Testnet in December 2017, after successfully raising $42 million in July, to provide developers with the opportunity to test SONM’s wide range of fog computing services. Developers also are given the chance to relay critical feedback and necessary improvements to be made to the platform, ahead of the product’s first commercial release in June 2018.",,42500000,USD,42500000
